1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,5,4,3,1,0,0,0,0,2,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,2,1,1,1,1,0,1,2,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,0,3,2,2,4,2,2,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
4,2,10,3,6,1,1,0,2,2,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,7,3,7,1,0,4,0,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,4,1,1,3,1,0,0,0,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,1,2,3,5,2,1,2,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,1,0,0,1,1,1,1,1,1,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,2,0,1,1,1,3,1,0,0,2,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,3,1,2,0,0,1,0,0,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,0,1,1,2,1,0,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,1,1,1,2,0,0,1,0,0,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,2,2,2,3,0,0,1,1,0,2,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,0,0,1,3,0,0,2,1,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,0,1,0,0,1,1,0,1,0,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,3,1,5,3,0,2,2,0,1,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,3,5,1,3,1,0,3,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,1,1,1,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,0,2,1,2,1,2,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,0,1,1,0,1,2,0,0,2,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,2,1,0,0,1,2,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,4,0,2,0,0,1,1,1,0,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,7,2,1,2,0,1,2,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,6,3,4,1,2,0,0,0,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,0,0,2,1,0,1,2,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,2,0,0,1,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,2,0,0,0,1,1,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,0,2,3,0,4,0,2,2,0,5,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,0,0,1,1,2,0,1,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,1,1,2,2,1,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,3,2,1,0,0,1,2,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,2,1,0,0,3,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
6,1,3,10,4,2,4,0,1,1,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
5,2,2,1,3,1,0,1,1,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,0,0,0,0,2,1,3,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,2,1,1,1,1,1,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,0,0,1,1,1,1,2,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,1,2,0,1,1,0,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,4,0,1,3,0,0,2,0,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,1,1,2,1,1,3,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,9,2,5,1,1,1,0,2,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,2,0,1,0,0,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,2,2,1,1,2,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,2,1,1,0,1,0,0,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,3,1,2,0,1,0,0,1,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,4,4,3,2,1,1,0,0,3,1,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,0,2,2,0,1,2,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,5,0,2,0,1,1,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,2,2,1,0,1,0,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,3,0,1,0,1,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,1,1,0,0,0,0,0,1,1,2,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
3,2,0,2,1,1,0,0,0,0,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,2,1,1,2,2,2,0,0,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,2,0,1,1,0,0,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,0,0,1,4,1,2,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,2,1,1,1,0,0,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,3,0,3,0,1,0,0,1,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,1,0,3,1,2,0,2,0,1,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
3,2,0,3,0,1,1,0,2,1,4,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,4,1,1,1,2,5,2,2,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,2,1,0,1,1,2,1,4,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,3,0,2,1,2,0,0,0,1,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,0,1,1,0,2,1,1,1,1,0,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,1,0,1,1,0,0,1,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,1,0,1,2,0,2,3,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,5,2,4,1,5,0,0,2,1,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,2,2,0,1,0,2,0,0,3,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,0,2,1,1,0,1,1,0,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,1,7,5,2,1,0,1,0,2,0,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,1,1,1,1,2,1,1,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,3,1,0,0,1,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,0,0,1,2,2,2,1,1,0,0,2,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
1,1,2,1,1,0,0,1,1,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
2,3,4,0,0,2,0,0,2,1,1,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
3,3,2,4,5,2,1,2,1,1,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,
1,1,4,2,3,3,0,0,0,0,3,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
2,0,2,0,1,1,1,0,1,1,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,0,0,1,0,2,0,1,1,0,1,1,
1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,
2,1,3,0,1,0,1,0,1,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,0,1,1,1,1,0,1,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
4,3,1,1,0,1,2,2,1,0,0,1,
1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
1,2,3,2,2,1,2,0,1,0,0,2,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
2,1,2,0,1,1,1,0,0,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,
3,1,1,1,0,0,2,0,1,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,2,1,0,2,1,0,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
2,1,1,1,2,0,1,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,0,2,0,1,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,2,0,2,1,3,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,6,14,8,6,4,2,3,6,6,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,0,4,1,1,0,2,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,3,1,1,1,0,2,0,5,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
3,2,1,5,3,2,0,1,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,5,5,2,2,1,1,2,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,1,0,0,1,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,3,4,3,1,2,2,1,1,11,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,2,1,2,4,0,0,2,4,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,1,0,2,4,2,0,1,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,2,1,1,0,0,0,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,4,1,3,1,1,1,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,1,1,0,1,0,1,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,0,1,0,0,1,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,2,0,2,1,0,1,0,1,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,1,0,2,0,0,0,1,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,3,0,0,0,1,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,7,2,5,1,1,2,2,2,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,6,5,2,2,3,2,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,8,6,1,6,2,0,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,4,4,1,0,0,1,1,0,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,1,1,1,2,0,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,0,1,1,0,1,2,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,2,0,0,1,1,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,1,1,1,0,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,1,0,1,1,2,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,2,1,2,1,1,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,3,1,0,1,0,2,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,2,0,1,1,0,0,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,2,1,1,0,1,3,0,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,5,3,4,2,6,3,6,2,10,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,0,1,0,1,4,2,1,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,0,0,0,1,1,1,2,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,3,1,2,3,1,0,2,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,4,0,1,3,0,1,0,0,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,1,2,1,1,1,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,3,2,0,1,2,0,2,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,1,2,2,3,1,0,0,1,1,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,1,1,4,0,0,1,0,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,1,4,3,3,0,0,2,3,1,4,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,5,1,1,1,4,0,4,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,3,5,5,3,3,0,4,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,3,2,1,1,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,5,2,3,0,2,0,3,3,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,1,1,0,1,2,2,0,0,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,2,1,0,1,2,1,2,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,0,2,0,1,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,0,1,4,0,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,1,4,4,0,2,3,2,5,6,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,2,1,1,1,2,0,0,3,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,2,2,1,1,0,0,0,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,1,0,3,1,0,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,1,0,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,3,2,1,1,0,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,0,1,1,4,0,3,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,2,0,1,1,2,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,2,2,7,0,0,1,1,2,1,6,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,2,0,1,4,0,1,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,2,4,2,1,0,0,3,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
10,3,12,9,3,4,5,1,1,0,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,0,3,2,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,2,0,3,1,0,1,0,2,5,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,2,0,1,1,1,0,0,1,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,0,0,1,0,1,1,0,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,3,3,1,0,1,0,2,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,1,0,0,1,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,2,1,1,2,2,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,2,3,2,4,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,2,1,2,4,0,0,0,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,0,3,3,0,0,2,0,6,5,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,1,0,0,1,0,3,1,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,2,1,1,2,2,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,0,1,0,0,2,1,2,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
5,4,1,1,3,2,2,2,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,3,5,1,6,4,5,1,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,1,0,2,0,0,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,4,3,0,1,2,3,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,3,1,2,0,2,1,4,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,0,1,1,1,1,0,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,4,2,1,2,3,0,2,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,1,0,0,1,0,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,2,1,2,0,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,0,1,0,2,0,1,1,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,0,2,1,2,1,0,1,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,1,2,2,0,0,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,4,3,1,1,2,1,0,1,3,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,1,0,1,2,0,3,0,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,1,0,0,1,3,1,0,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,1,0,2,3,1,2,1,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,1,0,0,4,1,0,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,3,1,1,0,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,1,0,1,0,2,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,0,3,1,1,0,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,4,4,4,1,2,0,2,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
5,0,0,1,1,1,0,2,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,2,3,0,0,0,2,0,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,1,0,2,0,0,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,2,0,1,4,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,6,1,2,1,0,3,0,4,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,4,0,2,0,0,3,0,1,1,3,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,2,2,0,1,1,0,0,0,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,7,6,8,4,6,3,1,0,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,2,8,12,6,1,3,0,0,1,3,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,0,0,0,0,4,1,2,2,0,9,9,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,2,1,0,1,2,0,1,3,0,4,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,0,3,1,2,2,1,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,0,1,0,1,2,0,0,1,1,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,3,2,0,2,0,1,0,2,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,1,0,1,2,4,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,2,3,5,2,0,1,4,0,5,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
4,3,1,5,0,1,3,1,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,1,0,0,0,4,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,1,0,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,1,3,0,1,2,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,1,3,2,1,0,1,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,5,0,2,2,4,0,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,2,1,0,1,0,2,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,2,1,2,0,0,0,0,2,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
3,2,2,1,1,1,2,3,2,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,1,1,2,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,2,2,1,2,0,0,3,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,1,1,0,1,1,1,0,4,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,1,1,1,1,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,1,1,1,1,0,0,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,2,2,1,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,0,0,2,5,1,3,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,0,1,2,1,1,1,0,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,1,0,1,0,1,2,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,1,0,0,1,1,1,1,0,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,1,2,1,2,2,4,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,1,2,8,2,4,0,2,4,6,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,4,1,0,1,0,1,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,2,1,1,0,0,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,3,1,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,1,1,3,2,1,3,3,3,3,3,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,2,5,1,5,6,1,5,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,4,2,1,6,0,9,4,8,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,1,1,1,0,2,1,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
